Probesets	age1_A	age1_B	age2_A	age2_B

1007_s_at	895.5	1142.5	1253	1555.2
1053_at	259.8	96.1	324.7	245.8
117_at	252.7	210.7	339.7	167.7
121_at	2758.4	2446.5	2359.5	2688.7
1255_g_at	184.8	181	170.6	170.5
1294_at	474.6	630.7	736.9	707.4
1316_at	480.7	287	343.5	372.7
1320_at	48.2	94.1	188.8	169.1
1405_i_at	19.9	30.9	244.9	57.5
1431_at	323.5	156.1	156.6	185.5
1438_at	66.7	40.9	107.4	89.6
1487_at	2436.7	2784.8	2158.2	2125.1
1494_f_at	527.7	553.6	620.6	571.5
1598_g_at	2349.6	2885.2	2835.8	3063.5
160020_at	549.2	911.8	750.6	981.5
1729_at	96.4	200.6	125.9	220.7
1773_at	73.8	326.5	57.4	388.7
177_at	191.7	104.4	315.8	209.7
179_at	2363.7	2848.4	2922.6	3293.8
1861_at	195.7	378.1	267.5	202.8
200000_s_at	1488.7	2245.7	2159.9	2150.8
200001_at	3052.6	3612.2	2758.7	3179.2
200002_at	18445.7	17270.7	24146.1	14886
200003_s_at	8543.7	9266.1	10624.7	6071.7
200004_at	6660.4	7583.7	6889.4	6545.9
200005_at	2251.7	2473.1	2727.4	2387.2
200006_at	14875	15993.8	17170.6	18053.8
200007_at	5676.1	6535.6	5885.6	5600.5
200008_s_at	1404	1174	1829.7	1505.2
200009_at	2484.8	3184.2	3075.4	2758.4
200010_at	15138.4	11681.8	15893.6	14581.8
200011_s_at	366.9	504.7	475.7	476.7
200012_x_at	25746.1	28563.9	26751.8	21232.6
200013_at	11946	15856	12105.2	9081.7
200014_s_at	972.5	949.6	872.7	1040.6
200015_s_at	1770.1	1786.7	1504.1	1561.9
200016_x_at	7623.7	10308.7	7792.6	7570.6
200017_at	7222.7	11480.5	6782	6869.9
200018_at	28593.6	30315.6	35931.7	25090.9
200019_s_at	10589	11880.9	13574	10250.4
200020_at	1345.5	1321.5	971.4	1842
200021_at	8975.6	7847.8	3829.7	10029.1
200022_at	9792	9322.2	9574	7736.7
200023_s_at	7792.7	9046.7	8287.8	6394
200024_at	15582.9	15607.5	16301.6	11910.5
200025_s_at	23869.4	28220.8	29281.6	23792.8
200026_at	17293.4	15747.1	28864.1	10764
200027_at	4794.7	4655.5	3777.4	4913.7
200028_s_at	5162	6782.9	4834	5237.6
200029_at	18254.2	19805.5	18867.6	11692.7
200030_s_at	24156.4	28519.5	27836.9	24024.7
200031_s_at	32117.6	33827	29784.4	25322.9
200032_s_at	28486	31141.6	34228.7	25849.5
200033_at	2598.2	3264.7	2551.8	3113.5
200034_s_at	13084.6	14361.1	13626.7	12193.9
200035_at	2057.8	2388.6	1319.5	2021.8
200036_s_at	10011.7	9751.7	11343.7	8427.9
200037_s_at	1053.7	2757.9	1076.8	1104.8
200038_s_at	10578.8	12040.6	12449.6	9164
200039_s_at	3170.5	3172	2896.6	2723.1
200040_at	1248.2	1369.5	1375.8	1010.1
200041_s_at	3006.7	3187.7	3163.4	2348.5
200042_at	2286.8	1420.4	1852.6	1937.6
200043_at	1805	3026.6	2142.2	2356.7
200044_at	465.5	619.4	483.8	637.4
200045_at	1614.7	1716.7	2162.4	2077.7
200046_at	2465.5	2208.6	1996.8	2471.9
200047_s_at	1151	1315.4	1037.6	1372.7
200048_s_at	2301.4	3676.6	2474.7	2585.5
200049_at	949.7	1268.2	839.8	950.4
200050_at	706.4	892.7	551.2	1116.1
200051_at	703	752.1	547.1	516
200052_s_at	822.7	939.7	728	1003.6
200053_at	5550.9	5096.1	4932.1	4680.5
200054_at	137.8	341.9	336.8	370.8
200055_at	2397.4	2317.7	2749.7	2231.5
200056_s_at	482.7	777	324.9	549.9
200057_s_at	2657.9	2909.8	2783.8	2430
200058_s_at	1200	1759.6	1449.6	1010.1
200059_s_at	4538.6	5877	4446.7	5790.5
200060_s_at	2676	3091.6	3389.2	2618.2
200061_s_at	28466.7	29360	29501.9	22144.8
200062_s_at	34352.8	31881.5	39788.4	28388
200063_s_at	6092.1	7264.7	4438.4	5828.2
200064_at	10868.8	12556.7	11883.7	11325.7
200065_s_at	5915.1	5439.9	6257.1	5710.7
200066_at	1180.4	1349.9	912.7	923.8
200067_x_at	4316.9	5429.7	4775.2	6092.9
200068_s_at	2186.5	2289.4	2553.6	2281.8
200069_at	162.6	200.4	238.7	178.5
200070_at	680.6	715.9	618.7	517.1
200071_at	719.4	997.5	461.2	637.7
200072_s_at	1198.7	1206.1	1148.8	953.9
200073_s_at	933.7	1093	982	910.9
200074_s_at	5384.7	7104.9	7994	5838.2
200075_s_at	399.7	690.6	581.4	566.8
