03-16_clone_A_1
Algorithm: Statistical
Corner+ Avg:223, Count:32
Corner- Avg:12145, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=250 NF=1.000000 SF=2.109617 SFGene=All 
Background=Avg:65.55,Stdev:1.08,Max:68.6,Min:63.3 Noise=Avg:2.80,Stdev:0.08,Max:3.1,Min:2.6 RawQ=2.57 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-MurIL2_at	20	20	14.2	A	0.834139																															
AFFX-MurIL10_at	20	20	25.6	A	0.588620																															
AFFX-MurIL4_at	20	20	6.1	A	0.300606																															
AFFX-MurFAS_at	20	20	2.4	A	0.937071																															
AFFX-BioB-5_at	20	20	168.3	P	0.006187																															
AFFX-BioB-M_at	20	20	431.4	P	0.000110																															
AFFX-BioB-3_at	20	20	240.4	P	0.000095																															
AFFX-BioC-5_at	20	20	841.8	P	0.000081																															
AFFX-BioC-3_at	20	20	632.6	P	0.000044																															
AFFX-BioDn-5_at	20	20	951.7	P	0.000052																															
AFFX-BioDn-3_at	20	20	3101.3	P	0.000195																															
AFFX-CreX-5_at	20	20	6875.7	P	0.000044																															
AFFX-CreX-3_at	20	20	9620.8	P	0.000044																															
AFFX-BioB-5_st	20	20	19.5	A	0.425962																															
AFFX-BioB-M_st	20	20	14.1	A	0.617401																															
AFFX-BioB-3_st	20	20	14.6	A	0.814869																															
AFFX-BioC-5_st	20	20	10.0	A	0.843268																															
AFFX-BioC-3_st	20	20	20.6	A	0.455413																															
AFFX-BioDn-5_st	20	20	43.1	A	0.250796																															
AFFX-BioDn-3_st	20	20	144.1	P	0.023929																															
AFFX-CreX-5_st	20	20	72.6	P	0.028457																															
AFFX-CreX-3_st	20	20	122.0	M	0.054213																															
AFFX-DapX-5_at	20	20	13.2	A	0.250796																															
AFFX-DapX-M_at	20	20	34.9	A	0.116113																															
AFFX-DapX-3_at	20	20	5.4	A	0.868639																															
AFFX-LysX-5_at	20	20	1.7	A	0.904333																															
AFFX-LysX-M_at	20	20	20.0	A	0.617401																															
AFFX-LysX-3_at	20	20	12.4	A	0.287726																															
AFFX-PheX-5_at	20	20	2.3	A	0.921998																															
AFFX-PheX-M_at	20	20	1.9	A	0.916408																															
AFFX-PheX-3_at	20	20	19.4	A	0.455413																															
AFFX-ThrX-5_at	20	20	7.6	A	0.659339																															
AFFX-ThrX-M_at	20	20	25.6	A	0.262827																															
AFFX-ThrX-3_at	20	20	7.7	A	0.834139																															
AFFX-TrpnX-5_at	20	20	14.4	A	0.588620																															
AFFX-TrpnX-M_at	20	20	4.1	A	0.953518																															
AFFX-TrpnX-3_at	20	20	1.3	A	0.852061																															
AFFX-b-ActinMur/M12481_5_at	20	20	19417.2	P	0.000044																															
AFFX-b-ActinMur/M12481_M_at	20	20	20051.0	P	0.000044																															
AFFX-b-ActinMur/M12481_3_at	20	20	19886.7	P	0.000044																															
AFFX-GapdhMur/M32599_5_at	20	20	10818.2	P	0.000044																															
AFFX-GapdhMur/M32599_M_at	20	20	10660.7	P	0.000044																															
AFFX-GapdhMur/M32599_3_at	20	20	9602.3	P	0.000044																															
